miRNA,Gene
hsa-let-7a-5p,HDLBP
hsa-let-7a-5p,RRM2
hsa-let-7a-5p,MYCN
hsa-let-7a-5p,TET3
hsa-let-7a-5p,RANBP2
hsa-let-7a-5p,SLC20A1
hsa-let-7a-5p,COL3A1
hsa-let-7a-5p,MARS2
hsa-let-7a-5p,BZW1
hsa-let-7a-5p,PNKD
hsa-let-7a-5p,TTLL4
hsa-let-7a-5p,PLAGL2
hsa-let-7a-5p,NOL4L
hsa-let-7a-5p,ZNF512B
hsa-let-7a-5p,ZCCHC3
hsa-let-7a-5p,BTBD3
hsa-let-7a-5p,PARD6B
hsa-let-7a-5p,BRWD1
hsa-let-7a-5p,UBE2G2
hsa-let-7a-5p,BACH1
hsa-let-7a-5p,ZNF280B
hsa-let-7a-5p,HIC2
hsa-let-7a-5p,MIEF1
hsa-let-7a-5p,DPH3
hsa-let-7a-5p,SMARCC1
hsa-let-7a-5p,CDC25A
hsa-let-7a-5p,NME6
hsa-let-7a-5p,QARS1
hsa-let-7a-5p,TUSC2
hsa-let-7a-5p,STIMATE
hsa-let-7a-5p,PDHB
hsa-let-7a-5p,EOGT
hsa-let-7a-5p,ABCC5
hsa-let-7a-5p,TMEM41A
hsa-let-7a-5p,LIPH
hsa-let-7a-5p,IGF2BP2
hsa-let-7a-5p,TRIM71
hsa-let-7a-5p,GOLGA4
hsa-let-7a-5p,PDE12
hsa-let-7a-5p,C3orf52
hsa-let-7a-5p,CDV3
hsa-let-7a-5p,TSC22D2
hsa-let-7a-5p,FNDC3B
hsa-let-7a-5p,SLC10A7
hsa-let-7a-5p,PCGF3
hsa-let-7a-5p,CPEB2
hsa-let-7a-5p,MED28
hsa-let-7a-5p,SMARCAD1
hsa-let-7a-5p,USP38
hsa-let-7a-5p,SLC38A9
hsa-let-7a-5p,TMEM167A
hsa-let-7a-5p,FNIP1
hsa-let-7a-5p,DUSP1
hsa-let-7a-5p,SUB1
hsa-let-7a-5p,OSMR
hsa-let-7a-5p,C5orf51
hsa-let-7a-5p,MAP3K1
hsa-let-7a-5p,KIF2A
hsa-let-7a-5p,ADRB2
hsa-let-7a-5p,GRPEL2
hsa-let-7a-5p,SMIM3
hsa-let-7a-5p,TRIM41
hsa-let-7a-5p,ELOVL4
hsa-let-7a-5p,SYNCRIP
hsa-let-7a-5p,EDN1
hsa-let-7a-5p,HMGA1
hsa-let-7a-5p,CDKN1A
hsa-let-7a-5p,ABCC10
hsa-let-7a-5p,FAM135A
hsa-let-7a-5p,LIN28B
hsa-let-7a-5p,UTRN
hsa-let-7a-5p,TAB2
hsa-let-7a-5p,ARMT1
hsa-let-7a-5p,IGF2BP3
hsa-let-7a-5p,HOXA1
hsa-let-7a-5p,CCDC71L
hsa-let-7a-5p,WASL
hsa-let-7a-5p,STARD3NL
hsa-let-7a-5p,CLDN12
hsa-let-7a-5p,DLC1
hsa-let-7a-5p,MTUS1
hsa-let-7a-5p,DUSP4
hsa-let-7a-5p,ANKRD46
hsa-let-7a-5p,SLC25A32
hsa-let-7a-5p,AC012213.5
hsa-let-7a-5p,TMEM65
hsa-let-7a-5p,ASAP1
hsa-let-7a-5p,C8orf58
hsa-let-7a-5p,GOLGA7
hsa-let-7a-5p,CHD7
hsa-let-7a-5p,RDH10
hsa-let-7a-5p,E2F5
hsa-let-7a-5p,MTDH
hsa-let-7a-5p,ZBTB5
hsa-let-7a-5p,CEMIP2
hsa-let-7a-5p,COL15A1
hsa-let-7a-5p,TGFBR1
hsa-let-7a-5p,RNF20
hsa-let-7a-5p,PBX3
hsa-let-7a-5p,CERCAM
hsa-let-7a-5p,PUDP
hsa-let-7a-5p,TIMM17B
hsa-let-7a-5p,SMC1A
hsa-let-7a-5p,ELF4
hsa-let-7a-5p,MBTPS2
hsa-let-7a-5p,MSN
hsa-let-7a-5p,PGRMC1
hsa-let-7b-5p,ICMT
hsa-let-7b-5p,USP24
hsa-let-7b-5p,GNG5
hsa-let-7b-5p,ZNF644
hsa-let-7b-5p,TGFBR3
hsa-let-7b-5p,TMED5
hsa-let-7b-5p,SLC25A24
hsa-let-7b-5p,NRAS
hsa-let-7b-5p,PEX11B
hsa-let-7b-5p,RGS16
hsa-let-7b-5p,EDEM3
hsa-let-7b-5p,PPP1R15B
hsa-let-7b-5p,YOD1
hsa-let-7b-5p,LPGAT1
hsa-let-7b-5p,RAB3GAP2
hsa-let-7b-5p,LBR
hsa-let-7b-5p,AHCTF1
hsa-let-7b-5p,PRDM2
hsa-let-7b-5p,EFHD2
hsa-let-7b-5p,PTPRU
hsa-let-7b-5p,TXLNA
hsa-let-7b-5p,PKN2
hsa-let-7b-5p,PTBP2
hsa-let-7b-5p,LRIG2
hsa-let-7b-5p,ADAM15
hsa-let-7b-5p,ERCC6
hsa-let-7b-5p,SLC16A9
hsa-let-7b-5p,WDR37
hsa-let-7b-5p,MLLT10
hsa-let-7b-5p,FAS
hsa-let-7b-5p,CCNJ
hsa-let-7b-5p,ENTPD7
hsa-let-7b-5p,SCD
hsa-let-7b-5p,HIF1AN
hsa-let-7b-5p,TPP1
hsa-let-7b-5p,LYVE1
hsa-let-7b-5p,EIF4G2
hsa-let-7b-5p,LGR4
hsa-let-7b-5p,B4GAT1
hsa-let-7b-5p,PGM2L1
hsa-let-7b-5p,KCTD21
hsa-let-7b-5p,RDX
hsa-let-7b-5p,CRY2
hsa-let-7b-5p,CLP1
hsa-let-7b-5p,STX3
hsa-let-7b-5p,SPINDOC
hsa-let-7b-5p,CHD4
hsa-let-7b-5p,GXYLT1
hsa-let-7b-5p,DDN
hsa-let-7b-5p,KMT2D
hsa-let-7b-5p,ZBTB39
hsa-let-7b-5p,NEMP1
hsa-let-7b-5p,LRIG3
hsa-let-7b-5p,NAP1L1
hsa-let-7b-5p,ATP2B1
hsa-let-7b-5p,EEA1
hsa-let-7b-5p,GOLT1B
hsa-let-7b-5p,ETNK1
hsa-let-7b-5p,ESPL1
hsa-let-7b-5p,TARBP2
hsa-let-7b-5p,HOXC11
hsa-let-7b-5p,HMGA2
hsa-let-7b-5p,VEZT
hsa-let-7b-5p,ATP2A2
hsa-let-7b-5p,ERP29
hsa-let-7b-5p,KATNAL1
hsa-let-7b-5p,STARD13
hsa-let-7b-5p,IRS2
hsa-let-7b-5p,COL4A1
hsa-let-7b-5p,NHLRC3
hsa-let-7b-5p,FNDC3A
hsa-let-7b-5p,ERO1A
hsa-let-7b-5p,ZFYVE26
hsa-let-7b-5p,KHNYN
hsa-let-7b-5p,NAA30
hsa-let-7b-5p,ARPP19
hsa-let-7b-5p,PRTG
hsa-let-7b-5p,IGDCC3
hsa-let-7b-5p,IGDCC4
hsa-let-7b-5p,NIPA1
hsa-let-7b-5p,THBS1
hsa-let-7b-5p,SNAP23
hsa-let-7b-5p,MAPK6
hsa-let-7b-5p,ARID3B
hsa-let-7b-5p,C15orf39
hsa-let-7b-5p,RAMAC
hsa-let-7b-5p,ARRDC4
hsa-let-7b-5p,IGF1R
hsa-let-7b-5p,ZNF200
hsa-let-7b-5p,SOCS1
hsa-let-7b-5p,ZNF689
hsa-let-7b-5p,KIAA0895L
hsa-let-7b-5p,NME4
hsa-let-7b-5p,CCNF
hsa-let-7b-5p,EEF2K
hsa-let-7b-5p,PDP2
hsa-let-7b-5p,PDPR
hsa-let-7b-5p,GAN
hsa-let-7b-5p,GJC1
hsa-let-7b-5p,COL1A1
hsa-let-7b-5p,COIL
hsa-let-7b-5p,LIMD2
hsa-let-7b-5p,FAM104A
hsa-let-7b-5p,NLK
hsa-let-7b-5p,CCL7
hsa-let-7b-5p,ARL4D
hsa-let-7b-5p,TBKBP1
hsa-let-7b-5p,IGF2BP1
hsa-let-7b-5p,SEC14L1
hsa-let-7b-5p,ZNF516
hsa-let-7b-5p,ARHGAP28
hsa-let-7b-5p,MIB1
hsa-let-7b-5p,GALNT1
hsa-let-7b-5p,INSR
hsa-let-7b-5p,GIPC1
hsa-let-7b-5p,CDC34
hsa-let-7b-5p,TNFSF9
hsa-let-7b-5p,PLD3
hsa-let-7b-5p,GEMIN7
hsa-let-7b-5p,E2F6
hsa-let-7b-5p,SLC5A6
hsa-let-7b-5p,MAP4K3
hsa-let-7b-5p,TIA1
hsa-let-7b-5p,SEMA4C
hsa-let-7b-5p,MGAT4A
hsa-let-7b-5p,POLR2D
hsa-let-7b-5p,RBMS1
hsa-let-7b-5p,FIGN
hsa-let-7b-5p,EPHA4
hsa-let-7b-5p,HDLBP
hsa-let-7b-5p,RRM2
hsa-let-7b-5p,MYCN
hsa-let-7b-5p,TET3
hsa-let-7b-5p,RANBP2
hsa-let-7b-5p,SLC20A1
hsa-let-7b-5p,COL3A1
hsa-let-7b-5p,MARS2
hsa-let-7b-5p,BZW1
hsa-let-7b-5p,PNKD
hsa-let-7b-5p,TTLL4
hsa-let-7b-5p,PLAGL2
hsa-let-7b-5p,NOL4L
hsa-let-7b-5p,ZNF512B
hsa-let-7b-5p,ZCCHC3
hsa-let-7b-5p,BTBD3
hsa-let-7b-5p,PARD6B
hsa-let-7b-5p,BRWD1
hsa-let-7b-5p,UBE2G2
hsa-let-7b-5p,BACH1
hsa-let-7b-5p,ZNF280B
hsa-let-7b-5p,HIC2
hsa-let-7b-5p,MIEF1
hsa-let-7b-5p,DPH3
hsa-let-7b-5p,SMARCC1
hsa-let-7b-5p,CDC25A
hsa-let-7b-5p,NME6
hsa-let-7b-5p,QARS1
hsa-let-7b-5p,TUSC2
hsa-let-7b-5p,STIMATE
hsa-let-7b-5p,PDHB
hsa-let-7b-5p,EOGT
hsa-let-7b-5p,ABCC5
hsa-let-7b-5p,TMEM41A
hsa-let-7b-5p,LIPH
hsa-let-7b-5p,IGF2BP2
hsa-let-7b-5p,TRIM71
hsa-let-7b-5p,GOLGA4
hsa-let-7b-5p,PDE12
hsa-let-7b-5p,C3orf52
hsa-let-7b-5p,CDV3
hsa-let-7b-5p,TSC22D2
hsa-let-7b-5p,FNDC3B
hsa-let-7b-5p,SLC10A7
hsa-let-7b-5p,PCGF3
hsa-let-7b-5p,CPEB2
hsa-let-7b-5p,MED28
hsa-let-7b-5p,SMARCAD1
hsa-let-7b-5p,USP38
hsa-let-7b-5p,SLC38A9
hsa-let-7b-5p,TMEM167A
hsa-let-7b-5p,FNIP1
hsa-let-7b-5p,DUSP1
hsa-let-7b-5p,RNF44
hsa-let-7b-5p,SUB1
hsa-let-7b-5p,OSMR
hsa-let-7b-5p,C5orf51
hsa-let-7b-5p,MAP3K1
hsa-let-7b-5p,ADRB2
hsa-let-7b-5p,GRPEL2
hsa-let-7b-5p,SMIM3
hsa-let-7b-5p,TRIM41
hsa-let-7b-5p,ELOVL4
hsa-let-7b-5p,SYNCRIP
hsa-let-7b-5p,EDN1
hsa-let-7b-5p,HMGA1
hsa-let-7b-5p,CDKN1A
hsa-let-7b-5p,ABCC10
hsa-let-7b-5p,FAM135A
hsa-let-7b-5p,LIN28B
hsa-let-7b-5p,UTRN
hsa-let-7b-5p,TAB2
hsa-let-7b-5p,ARMT1
hsa-let-7b-5p,IGF2BP3
hsa-let-7b-5p,HOXA1
hsa-let-7b-5p,CCDC71L
hsa-let-7b-5p,WASL
hsa-let-7b-5p,STARD3NL
hsa-let-7b-5p,CLDN12
hsa-let-7b-5p,DLC1
hsa-let-7b-5p,MTUS1
hsa-let-7b-5p,DUSP4
hsa-let-7b-5p,ANKRD46
hsa-let-7b-5p,SLC25A32
hsa-let-7b-5p,AC012213.5
hsa-let-7b-5p,TMEM65
hsa-let-7b-5p,ASAP1
hsa-let-7b-5p,C8orf58
hsa-let-7b-5p,GOLGA7
hsa-let-7b-5p,CHD7
hsa-let-7b-5p,RDH10
hsa-let-7b-5p,E2F5
hsa-let-7b-5p,ZBTB5
hsa-let-7b-5p,CEMIP2
hsa-let-7b-5p,COL15A1
hsa-let-7b-5p,TGFBR1
hsa-let-7b-5p,RNF20
hsa-let-7b-5p,PBX3
hsa-let-7b-5p,CERCAM
hsa-let-7b-5p,PUDP
hsa-let-7b-5p,TIMM17B
hsa-let-7b-5p,SMC1A
hsa-let-7b-5p,ELF4
hsa-let-7b-5p,MBTPS2
hsa-let-7b-5p,MSN
hsa-let-7b-5p,PGRMC1
hsa-let-7c-5p,ICMT
hsa-let-7c-5p,USP24
hsa-let-7c-5p,GNG5
hsa-let-7c-5p,ZNF644
hsa-let-7c-5p,TGFBR3
hsa-let-7c-5p,TMED5
hsa-let-7c-5p,SLC25A24
hsa-let-7c-5p,NRAS
hsa-let-7c-5p,PEX11B
hsa-let-7c-5p,RGS16
hsa-let-7c-5p,EDEM3
hsa-let-7c-5p,PPP1R15B
hsa-let-7c-5p,YOD1
hsa-let-7c-5p,LPGAT1
hsa-let-7c-5p,RAB3GAP2
hsa-let-7c-5p,LBR
hsa-let-7c-5p,AHCTF1
hsa-let-7c-5p,PRDM2
hsa-let-7c-5p,EFHD2
hsa-let-7c-5p,PTPRU
hsa-let-7c-5p,TXLNA
hsa-let-7c-5p,AGO4
hsa-let-7c-5p,AGO3
hsa-let-7c-5p,PKN2
hsa-let-7c-5p,PTBP2
hsa-let-7c-5p,LRIG2
hsa-let-7c-5p,ADAM15
hsa-let-7c-5p,PBX1
hsa-let-7c-5p,ERCC6
hsa-let-7c-5p,SLC16A9
hsa-let-7c-5p,WDR37
hsa-let-7c-5p,MLLT10
hsa-let-7c-5p,FAS
hsa-let-7c-5p,CCNJ
hsa-let-7c-5p,ENTPD7
hsa-let-7c-5p,SCD
hsa-let-7c-5p,HIF1AN
hsa-let-7c-5p,TPP1
hsa-let-7c-5p,LYVE1
hsa-let-7c-5p,EIF4G2
hsa-let-7c-5p,LGR4
hsa-let-7c-5p,B4GAT1
hsa-let-7c-5p,PGM2L1
hsa-let-7c-5p,KCTD21
hsa-let-7c-5p,RDX
hsa-let-7c-5p,CRY2
hsa-let-7c-5p,CLP1
hsa-let-7c-5p,STX3
hsa-let-7c-5p,SPINDOC
hsa-let-7c-5p,CHD4
hsa-let-7c-5p,GXYLT1
hsa-let-7c-5p,DDN
hsa-let-7c-5p,KMT2D
hsa-let-7c-5p,ZBTB39
hsa-let-7c-5p,NEMP1
hsa-let-7c-5p,LRIG3
hsa-let-7c-5p,NAP1L1
hsa-let-7c-5p,ATP2B1
hsa-let-7c-5p,EEA1
hsa-let-7c-5p,GOLT1B
hsa-let-7c-5p,ETNK1
hsa-let-7c-5p,ESPL1
hsa-let-7c-5p,TARBP2
hsa-let-7c-5p,HOXC11
hsa-let-7c-5p,HMGA2
hsa-let-7c-5p,VEZT
hsa-let-7c-5p,ATP2A2
hsa-let-7c-5p,ERP29
hsa-let-7c-5p,KATNAL1
hsa-let-7c-5p,STARD13
hsa-let-7c-5p,IRS2
hsa-let-7c-5p,COL4A1
hsa-let-7c-5p,NHLRC3
hsa-let-7c-5p,FNDC3A
hsa-let-7c-5p,ERO1A
hsa-let-7c-5p,ZFYVE26
hsa-let-7c-5p,KHNYN
hsa-let-7c-5p,NAA30
hsa-let-7c-5p,ARPP19
hsa-let-7c-5p,PRTG
hsa-let-7c-5p,IGDCC3
hsa-let-7c-5p,IGDCC4
hsa-let-7c-5p,NIPA1
hsa-let-7c-5p,THBS1
hsa-let-7c-5p,SNAP23
hsa-let-7c-5p,MAPK6
hsa-let-7c-5p,ARID3B
hsa-let-7c-5p,C15orf39
hsa-let-7c-5p,RAMAC
hsa-let-7c-5p,ARRDC4
hsa-let-7c-5p,IGF1R
hsa-let-7c-5p,ZNF200
hsa-let-7c-5p,SOCS1
hsa-let-7c-5p,ZNF689
hsa-let-7c-5p,KIAA0895L
hsa-let-7c-5p,NME4
hsa-let-7c-5p,CCNF
hsa-let-7c-5p,EEF2K
hsa-let-7c-5p,PDP2
hsa-let-7c-5p,PDPR
hsa-let-7c-5p,GAN
hsa-let-7c-5p,GJC1
hsa-let-7c-5p,COL1A1
hsa-let-7c-5p,COIL
hsa-let-7c-5p,LIMD2
hsa-let-7c-5p,FAM104A
hsa-let-7c-5p,NLK
hsa-let-7c-5p,CCL7
hsa-let-7c-5p,ARL4D
hsa-let-7c-5p,TBKBP1
hsa-let-7c-5p,IGF2BP1
hsa-let-7c-5p,SEC14L1
hsa-let-7c-5p,ZNF516
hsa-let-7c-5p,ARHGAP28
hsa-let-7c-5p,MIB1
hsa-let-7c-5p,GALNT1
hsa-let-7c-5p,INSR
hsa-let-7c-5p,GIPC1
hsa-let-7c-5p,CDC34
hsa-let-7c-5p,TNFSF9
hsa-let-7c-5p,PLD3
hsa-let-7c-5p,GEMIN7
hsa-let-7c-5p,E2F6
hsa-let-7c-5p,SLC5A6
hsa-let-7c-5p,MAP4K3
hsa-let-7c-5p,TIA1
hsa-let-7c-5p,SEMA4C
hsa-let-7c-5p,MGAT4A
hsa-let-7c-5p,POLR2D
hsa-let-7c-5p,RBMS1
hsa-let-7c-5p,FIGN
hsa-let-7c-5p,EPHA4
hsa-let-7c-5p,HDLBP
hsa-let-7c-5p,RRM2
hsa-let-7c-5p,MYCN
hsa-let-7c-5p,TET3
hsa-let-7c-5p,RANBP2
hsa-let-7c-5p,SLC20A1
hsa-let-7c-5p,COL3A1
hsa-let-7c-5p,MARS2
hsa-let-7c-5p,BZW1
hsa-let-7c-5p,PNKD
hsa-let-7c-5p,TTLL4
hsa-let-7c-5p,PLAGL2
hsa-let-7c-5p,NOL4L
hsa-let-7c-5p,ZNF512B
hsa-let-7c-5p,ZCCHC3
hsa-let-7c-5p,BTBD3
hsa-let-7c-5p,PARD6B
hsa-let-7c-5p,BRWD1
hsa-let-7c-5p,UBE2G2
hsa-let-7c-5p,BACH1
hsa-let-7c-5p,ZNF280B
hsa-let-7c-5p,HIC2
hsa-let-7c-5p,MIEF1
hsa-let-7c-5p,DPH3
hsa-let-7c-5p,SMARCC1
hsa-let-7c-5p,CDC25A
hsa-let-7c-5p,NME6
hsa-let-7c-5p,QARS1
hsa-let-7c-5p,TUSC2
hsa-let-7c-5p,PDHB
hsa-let-7c-5p,EOGT
hsa-let-7c-5p,ABCC5
hsa-let-7c-5p,TMEM41A
hsa-let-7c-5p,LIPH
hsa-let-7c-5p,IGF2BP2
hsa-let-7c-5p,TRIM71
hsa-let-7c-5p,GOLGA4
hsa-let-7c-5p,PDE12
hsa-let-7c-5p,C3orf52
hsa-let-7c-5p,CDV3
hsa-let-7c-5p,TSC22D2
hsa-let-7c-5p,FNDC3B
hsa-let-7c-5p,SLC10A7
hsa-let-7c-5p,PCGF3
hsa-let-7c-5p,CPEB2
hsa-let-7c-5p,MED28
hsa-let-7c-5p,SMARCAD1
hsa-let-7c-5p,USP38
hsa-let-7c-5p,SLC38A9
hsa-let-7c-5p,TMEM167A
hsa-let-7c-5p,FNIP1
hsa-let-7c-5p,DUSP1
hsa-let-7c-5p,SUB1
hsa-let-7c-5p,OSMR
hsa-let-7c-5p,C5orf51
hsa-let-7c-5p,MAP3K1
hsa-let-7c-5p,ADRB2
hsa-let-7c-5p,GRPEL2
hsa-let-7c-5p,SMIM3
hsa-let-7c-5p,TRIM41
hsa-let-7c-5p,ELOVL4
hsa-let-7c-5p,SYNCRIP
hsa-let-7c-5p,EDN1
hsa-let-7c-5p,HMGA1
hsa-let-7c-5p,CDKN1A
hsa-let-7c-5p,ABCC10
hsa-let-7c-5p,FAM135A
hsa-let-7c-5p,LIN28B
hsa-let-7c-5p,UTRN
hsa-let-7c-5p,TAB2
hsa-let-7c-5p,ARMT1
hsa-let-7c-5p,IGF2BP3
hsa-let-7c-5p,HOXA1
hsa-let-7c-5p,CCDC71L
hsa-let-7c-5p,WASL
hsa-let-7c-5p,STARD3NL
hsa-let-7c-5p,CLDN12
hsa-let-7c-5p,DLC1
hsa-let-7c-5p,MTUS1
hsa-let-7c-5p,DUSP4
hsa-let-7c-5p,ANKRD46
hsa-let-7c-5p,SLC25A32
hsa-let-7c-5p,AC012213.5
hsa-let-7c-5p,TMEM65
hsa-let-7c-5p,ASAP1
hsa-let-7c-5p,C8orf58
hsa-let-7c-5p,GOLGA7
hsa-let-7c-5p,CHD7
hsa-let-7c-5p,RDH10
hsa-let-7c-5p,E2F5
hsa-let-7c-5p,ZBTB5
hsa-let-7c-5p,CEMIP2
hsa-let-7c-5p,COL15A1
hsa-let-7c-5p,TGFBR1
hsa-let-7c-5p,RNF20
hsa-let-7c-5p,PBX3
hsa-let-7c-5p,CERCAM
hsa-let-7c-5p,PUDP
hsa-let-7c-5p,TIMM17B
hsa-let-7c-5p,SMC1A
hsa-let-7c-5p,ELF4
hsa-let-7c-5p,MBTPS2
hsa-let-7c-5p,MSN
hsa-let-7c-5p,PGRMC1
hsa-let-7d-5p,ICMT
hsa-let-7d-5p,USP24
hsa-let-7d-5p,GNG5
hsa-let-7d-5p,ZNF644
hsa-let-7d-5p,TGFBR3
hsa-let-7d-5p,TMED5
hsa-let-7d-5p,SLC25A24
hsa-let-7d-5p,NRAS
hsa-let-7d-5p,PEX11B
hsa-let-7d-5p,RGS16
hsa-let-7d-5p,EDEM3
hsa-let-7d-5p,PPP1R15B
hsa-let-7d-5p,YOD1
hsa-let-7d-5p,LPGAT1
hsa-let-7d-5p,RAB3GAP2
hsa-let-7d-5p,LBR
hsa-let-7d-5p,AHCTF1
hsa-let-7d-5p,PRDM2
hsa-let-7d-5p,EFHD2
hsa-let-7d-5p,PTPRU
hsa-let-7d-5p,TXLNA
hsa-let-7d-5p,BTF3L4
hsa-let-7d-5p,PKN2
hsa-let-7d-5p,PTBP2
hsa-let-7d-5p,LRIG2
hsa-let-7d-5p,ADAM15
hsa-let-7d-5p,ERCC6
hsa-let-7d-5p,SLC16A9
hsa-let-7d-5p,WDR37
hsa-let-7d-5p,MLLT10
hsa-let-7d-5p,FAS
hsa-let-7d-5p,CCNJ
hsa-let-7d-5p,ENTPD7
hsa-let-7d-5p,SCD
hsa-let-7d-5p,HIF1AN
hsa-let-7d-5p,INPP5A
hsa-let-7d-5p,TPP1
hsa-let-7d-5p,LYVE1
hsa-let-7d-5p,EIF4G2
hsa-let-7d-5p,LGR4
hsa-let-7d-5p,B4GAT1
hsa-let-7d-5p,PGM2L1
hsa-let-7d-5p,KCTD21
hsa-let-7d-5p,RDX
hsa-let-7d-5p,CRY2
hsa-let-7d-5p,CLP1
hsa-let-7d-5p,STX3
hsa-let-7d-5p,SPINDOC
hsa-let-7d-5p,CHD4
hsa-let-7d-5p,GXYLT1
hsa-let-7d-5p,DDN
hsa-let-7d-5p,KMT2D
hsa-let-7d-5p,ZBTB39
hsa-let-7d-5p,NEMP1
hsa-let-7d-5p,LRIG3
hsa-let-7d-5p,NAP1L1
hsa-let-7d-5p,ATP2B1
hsa-let-7d-5p,EEA1
hsa-let-7d-5p,GOLT1B
hsa-let-7d-5p,ETNK1
hsa-let-7d-5p,ESPL1
hsa-let-7d-5p,TARBP2
hsa-let-7d-5p,HOXC11
hsa-let-7d-5p,HMGA2
hsa-let-7d-5p,VEZT
hsa-let-7d-5p,ATP2A2
hsa-let-7d-5p,ERP29
hsa-let-7d-5p,KATNAL1
hsa-let-7d-5p,STARD13
hsa-let-7d-5p,IRS2
